name,datasource,conditionCriteria,watchValue,condMatchBgColor,condMatchFgColor,condMatchOutput,condDefOutput
WO commandCnt,~Spacecraft~SpacecraftSubSystem~commCnt,greaterThan,0,#006600,#00ff00,Commanding,Cmd Disabled
WO deltaTime,~Spacecraft~SpacecraftSubSystem~gammaTime,equalTo,200,#006600,#00ff00,,
WO enabledFlag,~Spacecraft~SpacecraftSubSystem~enabledFlag,equalTo,1,#006600,#00ff00,,
WO errorCnt,~Spacecraft~SpacecraftSubSystem~errorCnt,greaterThan,0,#660000,#ff0000,,
WO houseKeepingCnt,~Spacecraft~SpacecraftSubSystem~houseKeepingCnt,greaterThan,0,#006600,#00ff00,,
WO inhibitedFlag,~Spacecraft~SpacecraftSubSystem~inhibitedFlag,equalTo,1,#660000,#ff0000,,
WO messageCnt,~Spacecraft~SpacecraftSubSystem~messageCnt,greaterThan,0,#006600,#00ff00,Messaging,No Messages
WO padding1,~Spacecraft~SpacecraftSubSystem~pad9,greaterThan,1,#006600,#00ff00,,
WO sysElev,~Spacecraft~SpacecraftSubSystem~sysElev,greaterThan,0,#006600,#00ff00,,
WO sysPitch,~Spacecraft~SpacecraftSubSystem~sysPitch,greaterThan,0,#006600,#00ff00,,
WO sysRoll,~Spacecraft~SpacecraftSubSystem~sysRoll,greaterThan,0,#006600,#00ff00,,
WO timeLoremErrorCnt,~Spacecraft~SpacecraftSubSystem~timeLoremErrorCnt,greaterThan,0,#660000,#ff0000,,
WO spinIoInputErrorCnt,~Spacecraft~SpacecraftSubSystem~spinIoInputErrorCnt,greaterThan,1,#006600,#00ff00,,
WO wVlt,~Spacecraft~SpacecraftSubSystem~wVlt,greaterThan,0,#006600,#00ff00,,
WO xVlt,~Spacecraft~SpacecraftSubSystem~xVlt,greaterThan,0,#006600,#00ff00,,
WO yVlt,~Spacecraft~SpacecraftSubSystem~yVlt,greaterThan,0,#006600,#00ff00,,
